"id","negocio_id","proveedor_dte_id","centro_despacho_id","andenes_id","codigo","nombre","abreviado","direccion","impresora","estado","easygo","wase","eli","digitalizacion","zona_tracking_tienda_id","anden_tracking_id_pm","anden_tracking_id_ls","latitud","longitud"
"1","1","1","1","1","1000","Sin Tienda",,"Sin Tienda","test","1","1","0","0","1","0","0","0","0.0000000000000","0.0000000000000"
"111","1","1","111","1","E111","Bodega Easy.cl Cerrillos","E111","Interior Easy Cerrillos","test","1","1","0","0","1","0","0","0","0.0000000000000","0.0000000000000"
"502","1","1","502","4","E502","Easy Alto las Condes","Las Condes","Av. Pdte. Kennedy 9001, 1132,  Las Condes, Región Metropolitana, Santiago, Chile","test","1","1","1","1","1","3","10","20","33.391648","-70.544372"
"503","1","1","503","1","E503","Easy Maipú","Maipu","Av. Américo Vespucio 1011, Maipú, Región Metropolitana, Santiago, Chile","test","1","1","0","0","1","3","8","19","33.479318","-70.754169"
"504","1","1","504","1","E504","Easy Rancagua","Rancagua","Carr. del Cobre 750, Rancagua, O'Higgins, Chile","test","1","1","0","0","1","5","18","15","34.186177","-70.724385"
"506","1","1","506","2","E506","Temuco Portal","Portal Temuco","Avenida Alemania 671, Chile","test","1","1","0","0","1","2","14","18","38.734161","-72.609734"
"507","1","1","507","1","E507","Easy Puerto Montt","Pto. Montt","Ejército 470, Puerto Montt, Los Lagos, Chile","test","1","1","0","0","1","2","7","14","41.468876","-72.92974"
"508","1","1","508","3","E508","Easy Vina del Mar","Viña del Mar","1 Nte. 2901, Viña del Mar, Valparaíso, Chile","test","1","1","1","0","1","4","9","15","33.034533","-71.52475"
"510","1","1","510","1","E510","Easy Florida","La Florida","Vicuña Mackenna 6100, La Florida, Región Metropolitana, Santiago, Chile","test","1","1","1","0","1","3","4","21","33.510166","-70.605425"
"511","1","1","511","1","E511","Easy Costanera Center","Costanera","Av. Andrés Bello 2447, Providencia, Región Metropolitana, Santiago, Chile","test","1","1","1","0","1","3","17","21","33.41809","-70.607978"
"512","1","1","512","1","E512","Easy La Reina","La Reina","Av. Francisco Bilbao 8750, La Reina, Las Condes, Región Metropolitana, Santiago, Chile","test","1","1","1","0","1","3","13","11","33.427874","-70.542196"
"513","1","1","513","1","E513","Easy El Llano","El Llano","Llano Subercaseaux 3519A, San Miguel, Región Metropolitana, Santiago, Chile","test","1","1","1","0","1","3","9","10","33.486518","-70.652086"
"514","1","1","514","1","E514","Easy La Dehesa","La Dehesa","Av. La Dehesa 1445, Lo Barnechea, Región Metropolitana, Santiago, Chile","test","1","1","0","0","1","3","9","11","33.35656","-70.515381"
"517","1","1","517","1","E517","Easy Temuco","Temuco","Caupolicán 0650, Temuco, Araucanía, Chile","test","1","1","0","0","1","2","6","9","38.745744","-72.608292"
"518","1","1","518","1","E518","Easy Quilín","Quillin","Av. Quilín 5400, Penalolen, Peñalolén, Región Metropolitana, Santiago, Chile","test","1","1","0","0","1","3","15","8","33.48875","-70.576397"
"520","1","1","520","1","E520","Easy Valparaiso","Valparaiso","Av. Argentina 51, Valparaíso, Chile","test","1","1","0","0","1","4","12","18","33.043275","-71.604808"
"521","1","1","521","1","E521","Easy Serena","La Serena","Parcela 69 - Ruta 5 Norte, La Serena, Coquimbo, Santiago, Chile","test","1","1","0","0","1","1","10","15","29.916632","-71.260465"
"522","1","1","522","1","E522","Easy Cerrillos","Cerrillos","Camino a Melipilla 10939, Santiago, Chile","test","1","1","1","1","1","3","9","14","33.51631","-70.738261"
"523","1","1","523","1","E523","Easy Curicó","Curico NN","Av. O´Higgins 201, Curicó, Maule, Chile","test","1","1","0","0","1","2","13","18","34.98846","-71.245777"
"524","1","1","524","1","E524","Easy Linares","Linares","Januario Espinoza 1183, Linares, Maule, Chile","test","1","1","0","0","1","2","9","17","35.838261","-71.587914"
"525","1","1","525","1","E525","Easy Chillán","Chillan",,"test","1","1","1","0","1","4","8","8","36.592236","-72.105448"
"526","1","1","526","1","E526","Easy Talca","Talca NN",,"test","1","1","0","0","1","2","9","12","35.429955","-71.670864"
"527","1","1","527","1","E527","Easy Osorno","Osorno NN",,"test","1","1","0","0","1","2","13","12","40.581405","-73.117461"
"529","1","1","529","1","E529","Easy Los Angeles","Los Angeles",,"test","1","1","0","0","1","2","13","11","37.482484","-72.358905"
"534","1","1","534","1","E534","Easy Antofagasta","Antofagasta",,"test","1","1","0","0","1","1","11","11","23.667491","-70.404847"
"585","1","1","585","1","E585","Easy Osorno","Osorno","Av. Cesar Errcilla 1075","test","1","1","0","0","1","0","0","0","40,581405","-73.117461"
"591","1","1","591","1","E591","Easy Talca El Arenal","Talca","dd","test","1","1","0","0","1","0","0","0","35.429955","-71.670864"
"592","1","1","592","1","E592","Easy Curicó Mall","Curicó",,"test","1","1","0","0","1","3","17","14","34.98846","-71.245777"
"598","1","1","598","1","E598","TIENDA PRUEBA DISPOSITIVOS","E598",NULL,,"1","0","0","0","0","0","0","0",NULL,NULL
"599","1","1","599","1","E599","Centro de Despacho","CD","Centro de Despacho","test","1","1","0","1","1","0","0","0","0.0000000000000","0.0000000000000"
"614","1","1","614","1","E614","Easy Portal Calama","Calama","AV. CHIRRILLOS 1759 EX FINCA SAN JUAN","test","1","1","0","0","1","2","5","11","22.45531","-68.924682"
"616","1","1","616","1","E616","Easy Castellon","Castellón NN","Castellon 69","test","1","1","0","0","1","0","0","0","0.0000000000000","0.0000000000000"
"619","1","1","619","1","E619","Easy Arica","Arica","Av. Diego Portales 161, Arica, Región de Arica, Chile","test","1","1","0","0","1","1","11","20","18.469143","-70.307095"
"633","1","1","633","1","E633","Easy Hualpen","Bio Bio","Av. Jorge Alessandri s/n (Lote A1A), Hualpen, Chile","test","1","1","0","0","1","0","0","0","0.0000000000000","0.0000000000000"
"643","1","1","643","1","E643","Easy Ochagavia","Ochagavia","Jose Joaquin Prieto","test","1","1","0","0","1","0","0","0","33.501997","-70.667703"
"646","1","1","646","1","E646","Easy Quillota","Quillota","Ariztia 530","test","1","1","0","0","1","4","16","12","32.875274","-70,728429"
"655","1","1","655","1","E655","Easy Quilicura","Quilicura","Avda. Lo Marcoleta 315","test","1","1","0","0","1","0","0","0","33.358744","-70.728429"
"659","1","1","659","1","E659","Easy Puente Alto","Pte Alto","Concha y Toro","test","1","1","1","0","1","0","0","0","33.571161","-70.58631"
"696","1","1","696","1","E696","Easy Bodega Mayorista Cerrillo","E696","Bodega Mayorista Cerrillo","test","1","1","1","1","1","0","0","0",NULL,NULL
"744","1","1","744","1","E744","La Unión","LU","casa","test","1","1","1","1","0","0","0","0","0","0"
"748","1","1","760","1","E748","Easy Portal Osorno","Portal Osorno","Cesar Ercilla 1075, Osorno, Los Lagos","test","1","1","1","1","1","2","1","19","0","0"
"760","1","1","760","1","E760","Easy Copiapó","Copiapó",,"test","1","1","0","0","1","0","0","0","27.383417","-70.315857"
"775","1","1","775","17","E775","EASY PORTAL ÑUÑOA","EPA","EASY PORTAL ÑUÑOA","normal","1","1","1","1","1","1","1","1","1","1"
"781","1","1","781","1","E781","Easy Belloto","Belloto","Baden Powell # 150","test","1","1","0","0","1","4","1","21","33.044812","-71.419746"
"800","2","1","991","1","E800","Easy Occidente (Colombia)",,"calle colombia","test","1","1","0","0","1","0","0","0","0.0000000000000","0.0000000000000"
"830","1","1","830","1","E830","Easy Villarica","Villarica","sin dirección","test","1","1","1","1","1","1","1","1","0","0"
"843","1","1","843","1","E843","Easy Portal San Bernardo","San Bernardo","Avda. Portales 3698","test","1","1","0","0","1","3","8","12","33.633547","-71.419746"
"874","1","1","874","1","E874","Santa Amalia","Santa Amalia","dirección","1","1","0","1","1","1","3","1","1","0","0"
"879","1","1","879","1","E879","Tienda Virtual Easy.cl","Easy.cl","Tienda Virtual Easy.cl","test","1","1","0","0","1","0","0","0","0.0000000000000","0.0000000000000"
"900","1","1","900","1","E900","Easy Los Andes","Los Andes","Avda San Rafael 2151 Los Andes, Chile","test","1","1","0","0","1","1","16","0","32,821094","-70.613902"
"983","1","1","983","1","E983","Easy Coronel","Coronel","Calle Manuel Montt 1600, Coronel, Chile","test","1","1","1","0","1","2","9","12","36,998257","-73.160985"
"988","1","1","988","1","E988","Easy Valle Alegre","Chicureo","Av. Chicureo N 230, Santiago, Chile","test","1","1","0","0","1","1","7","16","0.0000000000000","0.0000000000000"
"990","1","1","990","1","E990","Easy Chiguayante","Chiguayante","Manuel Rodriguez 1045, Concepcion, Chile","test","1","1","0","0","1","1","14","0","36.930372","-73.020804"
"991","2","1","991","1","EEEE","test colombia",NULL,"CII 80 con Kra114","test","1","1","0","0","1","0","0","0","0.0000000000000","0.0000000000000"
